MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP23_A||Lee-Escribe Idioma 1,PCP23_B||Lee-Escribe Idioma 2,PCP23_C||Lee-Escribe Idioma 3
1701,7,1,Hombre,Akateko,,
1701,7,1,Mujer,Chalchiteko,,
1701,7,1,Mujer,Español,Akateko,
1703,7,1,Hombre,Inglés,Español,
1703,7,1,Mujer,Akateko,Chalchiteko,
1703,7,1,Mujer,Español,Akateko,
1704,7,1,Mujer,Akateko,,
1705,7,1,Hombre,Achí,,
1705,7,1,Hombre,Chalchiteko,,
1705,7,1,Hombre,Español,Akateko,
1705,7,1,Hombre,Inglés,,
1705,7,1,Mujer,Chalchiteko,,
1706,7,1,Hombre,Español,Q'eqchi',
1706,7,1,Hombre,Otro idioma,,
1706,7,1,Mujer,Español,K'iche',
1707,7,1,Mujer,Achí,,
1707,7,1,Mujer,Achí,Español,
1707,7,1,Mujer,Español,Akateko,
1708,7,1,Mujer,Español,Inglés,
1709,7,1,Hombre,Achí,,
1709,7,1,Hombre,Akateko,,
1709,7,1,Hombre,Español,Q'eqchi',
1709,7,1,Hombre,Q'eqchi',Achí,
1709,7,1,Mujer,Achí,Español,
1709,7,1,Mujer,Chuj,,
1710,7,1,Mujer,Español,Akateko,
1711,7,1,Hombre,Akateko,,
1711,7,1,Hombre,Inglés,,
1711,7,1,Mujer,Inglés,,
1712,7,1,Hombre,Achí,Español,
1712,7,1,Hombre,Q'eqchi',,
1712,7,1,Hombre,Q'eqchi',Español,
1712,7,1,Mujer,Chalchiteko,,
1712,7,1,Mujer,Español,Q'eqchi',
1712,7,1,Mujer,Inglés,Español,
1712,7,1,Mujer,Q'eqchi',Español,
1713,7,1,Hombre,Español,Q'eqchi',
1713,7,1,Hombre,Inglés,Español,
1714,7,1,Hombre,Español,Q'eqchi',
1714,7,1,Hombre,Q'eqchi',,
1714,7,1,Mujer,Achí,,
1714,7,1,Mujer,Q'eqchi',Español,
2201,7,1,Hombre,Español,Inglés,
2201,7,1,Hombre,K'iche',,
2201,7,1,Mujer,Achí,Español,
2201,7,1,Mujer,Español,K'iche',
2201,7,1,Mujer,Inglés,Español,
2201,7,1,Mujer,K'iche',,
2202,7,1,Hombre,Español,Akateko,
2202,7,1,Hombre,Inglés,,
2202,7,1,Mujer,Español,Inglés,
2202,7,1,Mujer,Español,Inglés,Achí
