MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP15||Idioma Materno
301,0,301,Hombre,
301,0,273,Mujer,
302,0,150,Hombre,
302,0,127,Mujer,
303,0,146,Hombre,
303,0,125,Mujer,
304,0,327,Hombre,
304,0,365,Mujer,
305,0,114,Hombre,
305,0,140,Mujer,
306,0,222,Hombre,
306,0,249,Mujer,
307,0,41,Hombre,
307,0,60,Mujer,
308,0,181,Hombre,
308,0,166,Mujer,
309,0,109,Hombre,
309,0,105,Mujer,
310,0,77,Hombre,
310,0,72,Mujer,
311,0,234,Hombre,
311,0,208,Mujer,
312,0,273,Hombre,
312,0,235,Mujer,
313,0,108,Hombre,
313,0,94,Mujer,
314,0,199,Hombre,
314,0,214,Mujer,
315,0,92,Hombre,
315,0,100,Mujer,
316,0,33,Hombre,
316,0,37,Mujer,
1201,0,434,Hombre,
1201,0,441,Mujer,
1202,0,673,Hombre,
1202,0,720,Mujer,
1203,0,222,Hombre,
1203,0,195,Mujer,
1204,0,877,Hombre,
1204,0,814,Mujer,
1205,0,686,Hombre,
1205,0,709,Mujer,
1206,0,1068,Hombre,
1206,0,1065,Mujer,
1207,0,802,Hombre,
1207,0,792,Mujer,
1208,0,180,Hombre,
1208,0,184,Mujer,
1209,0,685,Hombre,
1209,0,682,Mujer,
1210,0,516,Hombre,
1210,0,497,Mujer,
1211,0,165,Hombre,
1211,0,175,Mujer,
1212,0,311,Hombre,
1212,0,276,Mujer,
1213,0,451,Hombre,
1213,0,466,Mujer,
1214,0,194,Hombre,
1214,0,185,Mujer,
1215,0,886,Hombre,
1215,0,894,Mujer,
1216,0,280,Hombre,
1216,0,302,Mujer,
1217,0,435,Hombre,
1217,0,388,Mujer,
1218,0,108,Hombre,
1218,0,97,Mujer,
1219,0,583,Hombre,
1219,0,507,Mujer,
1220,0,281,Hombre,
1220,0,255,Mujer,
1221,0,207,Hombre,
1221,0,180,Mujer,
1222,0,238,Hombre,
1222,0,197,Mujer,
1223,0,238,Hombre,
1223,0,233,Mujer,
1224,0,236,Hombre,
1224,0,220,Mujer,
1225,0,205,Hombre,
1225,0,186,Mujer,
1226,0,255,Hombre,
1226,0,279,Mujer,
1227,0,148,Hombre,
1227,0,161,Mujer,
1228,0,50,Hombre,
1228,0,67,Mujer,
1229,0,151,Hombre,
1229,0,164,Mujer,
1230,0,345,Hombre,
1230,0,334,Mujer,
301,1,382,Hombre,
301,1,310,Mujer,
302,1,163,Hombre,
302,1,170,Mujer,
303,1,193,Hombre,
303,1,162,Mujer,
304,1,379,Hombre,
304,1,356,Mujer,
305,1,132,Hombre,
305,1,127,Mujer,
306,1,244,Hombre,
306,1,265,Mujer,
307,1,62,Hombre,
307,1,69,Mujer,
308,1,190,Hombre,
308,1,174,Mujer,
309,1,116,Hombre,
309,1,119,Mujer,
310,1,108,Hombre,
310,1,96,Mujer,
311,1,217,Hombre,
311,1,219,Mujer,
312,1,342,Hombre,
312,1,291,Mujer,
313,1,118,Hombre,
313,1,113,Mujer,
314,1,222,Hombre,
314,1,261,Mujer,
315,1,95,Hombre,
315,1,89,Mujer,
316,1,36,Hombre,
316,1,35,Mujer,
1201,1,492,Hombre,
1201,1,504,Mujer,
1202,1,809,Hombre,
1202,1,761,Mujer,
1203,1,225,Hombre,
1203,1,244,Mujer,
1204,1,933,Hombre,
1204,1,843,Mujer,
1205,1,748,Hombre,
1205,1,719,Mujer,
1206,1,1126,Hombre,
1206,1,1041,Mujer,
1207,1,970,Hombre,
1207,1,888,Mujer,
1208,1,216,Hombre,
1208,1,223,Mujer,
1209,1,810,Hombre,
1209,1,754,Mujer,
1210,1,559,Hombre,
1210,1,530,Mujer,
1211,1,190,Hombre,
1211,1,158,Mujer,
1212,1,313,Hombre,
1212,1,322,Mujer,
1213,1,498,Hombre,
1213,1,503,Mujer,
1214,1,179,Hombre,
1214,1,195,Mujer,
1215,1,1115,Hombre,
1215,1,1031,Mujer,
1216,1,292,Hombre,
1216,1,286,Mujer,
1217,1,453,Hombre,
1217,1,465,Mujer,
1218,1,134,Hombre,
1218,1,145,Mujer,
1219,1,573,Hombre,
1219,1,512,Mujer,
1220,1,278,Hombre,
1220,1,271,Mujer,
1221,1,189,Hombre,
1221,1,209,Mujer,
1222,1,259,Hombre,
1222,1,252,Mujer,
1223,1,349,Hombre,
1223,1,336,Mujer,
1224,1,235,Hombre,
1224,1,232,Mujer,
1225,1,188,Hombre,
1225,1,191,Mujer,
1226,1,308,Hombre,
1226,1,304,Mujer,
1227,1,138,Hombre,
1227,1,149,Mujer,
1228,1,59,Hombre,
1228,1,66,Mujer,
1229,1,166,Hombre,
1229,1,189,Mujer,
1230,1,399,Hombre,
1230,1,350,Mujer,
301,2,393,Hombre,
301,2,363,Mujer,
302,2,187,Hombre,
302,2,160,Mujer,
303,2,158,Hombre,
303,2,183,Mujer,
304,2,424,Hombre,
304,2,397,Mujer,
305,2,138,Hombre,
305,2,127,Mujer,
306,2,294,Hombre,
306,2,250,Mujer,
307,2,69,Hombre,
307,2,63,Mujer,
308,2,200,Hombre,
308,2,223,Mujer,
309,2,142,Hombre,
309,2,121,Mujer,
310,2,117,Hombre,
310,2,113,Mujer,
311,2,245,Hombre,
311,2,243,Mujer,
312,2,301,Hombre,
312,2,307,Mujer,
313,2,113,Hombre,
313,2,127,Mujer,
314,2,243,Hombre,
314,2,265,Mujer,
315,2,104,Hombre,
315,2,110,Mujer,
316,2,38,Hombre,
316,2,39,Mujer,
1201,2,474,Hombre,
1201,2,543,Mujer,
1202,2,848,Hombre,
1202,2,873,Mujer,
1203,2,258,Hombre,
1203,2,275,Mujer,
1204,2,974,Hombre,
1204,2,969,Mujer,
1205,2,791,Hombre,
1205,2,744,Mujer,
1206,2,1117,Hombre,
1206,2,1114,Mujer,
1207,2,1029,Hombre,
1207,2,1045,Mujer,
1208,2,223,Hombre,
1208,2,188,Mujer,
1209,2,807,Hombre,
1209,2,807,Mujer,
1210,2,598,Hombre,
1210,2,538,Mujer,
1211,2,182,Hombre,
1211,2,196,Mujer,
1212,2,384,Hombre,
1212,2,385,Mujer,
1213,2,608,Hombre,
1213,2,574,Mujer,
1214,2,220,Hombre,
1214,2,224,Mujer,
1215,2,1251,Hombre,
1215,2,1198,Mujer,
1216,2,344,Hombre,
1216,2,400,Mujer,
1217,2,434,Hombre,
1217,2,423,Mujer,
1218,2,128,Hombre,
1218,2,133,Mujer,
1219,2,616,Hombre,
1219,2,652,Mujer,
1220,2,331,Hombre,
1220,2,334,Mujer,
1221,2,253,Hombre,
1221,2,214,Mujer,
1222,2,255,Hombre,
1222,2,246,Mujer,
1223,2,330,Hombre,
1223,2,338,Mujer,
1224,2,249,Hombre,
1224,2,249,Mujer,
1225,2,228,Hombre,
1225,2,217,Mujer,
1226,2,305,Hombre,
1226,2,286,Mujer,
1227,2,192,Hombre,
1227,2,150,Mujer,
1228,2,78,Hombre,
1228,2,68,Mujer,
1229,2,181,Hombre,
1229,2,195,Mujer,
1230,2,414,Hombre,
1230,2,397,Mujer,
301,3,390,Hombre,
301,3,412,Mujer,
302,3,179,Hombre,
302,3,165,Mujer,
303,3,179,Hombre,
303,3,175,Mujer,
304,3,402,Hombre,
304,3,423,Mujer,
305,3,115,Hombre,
305,3,143,Mujer,
306,3,283,Hombre,
306,3,317,Mujer,
307,3,69,Hombre,
307,3,85,Mujer,
308,3,207,Hombre,
308,3,216,Mujer,
309,3,170,Hombre,
309,3,150,Mujer,
310,3,129,Hombre,
310,3,121,Mujer,
311,3,249,Hombre,
311,3,281,Mujer,
312,3,349,Hombre,
312,3,330,Mujer,
313,3,139,Hombre,
313,3,152,Mujer,
314,3,246,Hombre,
314,3,267,Mujer,
315,3,102,Hombre,
315,3,112,Mujer,
316,3,50,Hombre,
316,3,32,Mujer,
1201,3,520,Hombre,
1201,3,490,Mujer,
1202,3,895,Hombre,
1202,3,849,Mujer,
1203,3,254,Hombre,
1203,3,213,Mujer,
1204,3,828,Hombre,
1204,3,842,Mujer,
1205,3,725,Hombre,
1205,3,730,Mujer,
1206,3,1079,Hombre,
1206,3,1082,Mujer,
1207,3,989,Hombre,
1207,3,1001,Mujer,
1208,3,214,Hombre,
1208,3,192,Mujer,
1209,3,812,Hombre,
1209,3,779,Mujer,
1210,3,555,Hombre,
1210,3,558,Mujer,
