MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,"PCP14||Utiliza ropa maya, garífuna, afrodescendiente o xinka"
101,22,9198,Hombre,
101,22,9109,Mujer,
101,18,8844,Hombre,
101,23,8765,Mujer,
101,18,8718,Mujer,
101,25,8687,Hombre,
101,17,8562,Mujer,
101,25,8520,Mujer,
101,23,8519,Hombre,
101,24,8497,Hombre,
101,17,8439,Hombre,
101,20,8417,Mujer,
101,24,8394,Mujer,
101,30,8314,Mujer,
101,28,8307,Mujer,
101,21,8251,Mujer,
101,20,8222,Hombre,
101,19,8160,Mujer,
101,27,8141,Mujer,
101,30,8124,Hombre,
101,21,7988,Hombre,
101,19,7971,Hombre,
101,28,7969,Hombre,
101,26,7898,Mujer,
101,15,7713,Hombre,
101,27,7692,Hombre,
101,15,7560,Mujer,
101,26,7527,Hombre,
101,16,7503,Mujer,
101,16,7467,Hombre,
101,3,7436,Hombre,
101,38,7337,Mujer,
101,32,7321,Mujer,
101,29,7296,Mujer,
101,13,7295,Hombre,
101,12,7281,Hombre,
101,10,7279,Hombre,
101,4,7278,Hombre,
101,14,7238,Hombre,
101,40,7209,Mujer,
101,3,7178,Mujer,
101,14,7141,Mujer,
101,35,7126,Mujer,
101,2,7108,Mujer,
101,8,7076,Hombre,
101,6,7061,Hombre,
101,2,7058,Hombre,
101,13,7038,Mujer,
101,5,7027,Hombre,
101,4,7020,Mujer,
101,10,7019,Mujer,
101,9,7006,Mujer,
101,5,6980,Mujer,
101,7,6974,Hombre,
101,9,6974,Hombre,
101,6,6888,Mujer,
101,12,6884,Mujer,
101,36,6855,Mujer,
101,7,6850,Mujer,
101,29,6841,Hombre,
101,8,6829,Mujer,
101,33,6816,Mujer,
101,1,6807,Hombre,
101,11,6745,Hombre,
101,37,6717,Mujer,
101,11,6678,Mujer,
101,1,6656,Mujer,
101,32,6635,Hombre,
101,42,6631,Mujer,
101,38,6556,Hombre,
101,40,6490,Hombre,
101,35,6470,Hombre,
101,33,6393,Hombre,
101,34,6384,Mujer,
101,0,6269,Hombre,
101,39,6112,Mujer,
101,31,6042,Mujer,
101,0,5917,Mujer,
101,36,5835,Hombre,
101,45,5816,Mujer,
101,42,5792,Hombre,
101,34,5768,Hombre,
101,37,5768,Hombre,
101,31,5740,Hombre,
101,50,5685,Mujer,
101,43,5532,Mujer,
101,39,5434,Hombre,
101,41,5293,Mujer,
101,48,5263,Mujer,
101,47,5182,Mujer,
101,44,5106,Mujer,
101,46,5065,Mujer,
101,52,4965,Mujer,
101,45,4960,Hombre,
101,43,4877,Hombre,
101,50,4867,Hombre,
101,55,4706,Mujer,
101,41,4690,Hombre,
101,49,4660,Mujer,
101,54,4644,Mujer,
115,22,4604,Mujer,
115,17,4600,Hombre,
101,53,4569,Mujer,
115,18,4536,Mujer,
108,18,4534,Mujer,
115,18,4521,Hombre,
108,22,4506,Hombre,
108,17,4497,Mujer,
108,25,4497,Mujer,
115,17,4494,Mujer,
108,22,4478,Mujer,
101,48,4451,Hombre,
115,22,4450,Hombre,
101,58,4424,Mujer,
101,56,4423,Mujer,
115,23,4420,Mujer,
108,23,4383,Mujer,
108,18,4346,Hombre,
115,25,4342,Mujer,
115,20,4339,Mujer,
108,28,4317,Mujer,
108,25,4306,Hombre,
115,25,4294,Hombre,
101,60,4291,Mujer,
115,30,4273,Mujer,
108,30,4265,Mujer,
115,19,4264,Mujer,
115,23,4256,Hombre,
108,23,4243,Hombre,
108,17,4241,Hombre,
101,44,4233,Hombre,
108,20,4222,Mujer,
101,47,4214,Hombre,
115,4,4179,Hombre,
115,24,4174,Mujer,
115,12,4172,Hombre,
101,57,4167,Mujer,
115,8,4154,Hombre,
115,20,4148,Hombre,
115,21,4142,Mujer,
115,10,4138,Hombre,
115,28,4130,Mujer,
108,27,4116,Mujer,
101,46,4112,Hombre,
115,5,4108,Hombre,
108,19,4097,Mujer,
115,19,4097,Hombre,
115,13,4095,Hombre,
108,30,4078,Hombre,
115,24,4066,Hombre,
108,24,4064,Mujer,
115,3,4049,Hombre,
115,4,4046,Mujer,
